Date;Open;High;Low;Last Close;Chg.%;
"02/28/2011";"1239.20";"1247.30";"1231.50";"1244.10";"+0.23%";
"03/01/2011";"1243.80";"1246.00";"1229.90";"1230.60";"-1.09%";
"03/02/2011";"1229.50";"1233.70";"1224.20";"1229.30";"-0.11%";
"03/03/2011";"1232.70";"1243.00";"1232.70";"1238.00";"+0.71%";
"03/04/2011";"1246.10";"1246.10";"1229.40";"1233.00";"-0.40%";
"03/07/2011";"1225.00";"1227.80";"1220.00";"1222.60";"-0.84%";
"03/08/2011";"1233.60";"1233.70";"1212.60";"1219.20";"-0.28%";
"03/09/2011";"1221.50";"1225.40";"1216.00";"1220.20";"+0.08%";
"03/10/2011";"1222.60";"1223.40";"1212.20";"1212.20";"-0.66%";
"03/11/2011";"1209.70";"1217.00";"1203.20";"1217.00";"+0.40%";
"03/14/2011";"1216.00";"1219.80";"1206.90";"1208.10";"-0.73%";
"03/15/2011";"1195.30";"1206.40";"1186.30";"1206.40";"-0.14%";
"03/16/2011";"1215.90";"1219.90";"1199.00";"1201.70";"-0.39%";
"03/17/2011";"1203.70";"1209.30";"1199.60";"1206.80";"+0.42%";
"03/18/2011";"1212.50";"1214.70";"1205.80";"1211.30";"+0.37%";
"03/21/2011";"1218.70";"1226.40";"1217.00";"1223.00";"+0.97%";
"03/22/2011";"1237.30";"1237.30";"1217.40";"1219.60";"-0.28%";
"03/23/2011";"1219.90";"1225.50";"1219.90";"1225.50";"+0.48%";
"03/24/2011";"1226.10";"1239.90";"1222.70";"1239.90";"+1.18%";
"03/25/2011";"1238.40";"1245.40";"1238.20";"1245.40";"+0.44%";
"03/28/2011";"1247.40";"1257.40";"1243.90";"1257.40";"+0.96%";
"03/29/2011";"1255.40";"1258.80";"1250.30";"1258.80";"+0.11%";
"03/30/2011";"1261.70";"1265.90";"1258.90";"1260.80";"+0.16%";
"03/31/2011";"1259.20";"1260.10";"1253.80";"1257.30";"-0.28%";
"04/01/2011";"1259.10";"1260.70";"1253.30";"1257.30";"0.00%";
"04/04/2011";"1258.40";"1267.80";"1258.30";"1267.80";"+0.84%";
"04/05/2011";"1265.30";"1265.50";"1260.50";"1263.80";"-0.32%";
"04/06/2011";"1264.90";"1275.80";"1264.90";"1275.40";"+0.92%";
